filename start freq energy ac1 voiced
cherokee.aif 0.0 50.0 1.3054801684120321e-06 0.0 0.14608743786811829
cherokee.aif 20.0 293.31198120117188 9.4716364401392639e-05 8.0628099752289017e-09 0.59332877397537231
cherokee.aif 23.409339162234915 294.29736328125 9.9539691291283816e-05 8.7606464305167719e-09 0.5818825364112854
cherokee.aif 26.807262931979686 294.34951782226562 0.00010002777707995847 8.798139994325993e-09 0.59153759479522705
cherokee.aif 30.204584734224149 294.535888671875 9.7689160611480474e-05 8.2321891525793944e-09 0.52985018491744995
cherokee.aif 33.599756584507738 294.535888671875 8.9562170614954084e-05 6.631871496409758e-09 0.0
cherokee.aif 36.994928434791326 294.535888671875 0.00013676279922947288 1.8721367567309244e-08 0.0
cherokee.aif 40.390100285074915 294.535888671875 0.00027694387244991958 8.0072503294559283e-08 0.26929706335067749
cherokee.aif 43.785272135358511 294.535888671875 0.00039595650741830468 1.5654806873044436e-07 0.29294055700302124
cherokee.aif 47.1804439856421 294.535888671875 0.00044807762606069446 1.9786828886481089e-07 0.22404000163078308
cherokee.aif 50.575615835925696 294.535888671875 0.00048035063082352281 2.2438135260927083e-07 0.22104853391647339
cherokee.aif 53.970787686209285 294.535888671875 0.00051337003242224455 2.5301363848484471e-07 0.20004141330718994
cherokee.aif 57.36595953649288 294.535888671875 0.00051125511527061462 2.4493127170899243e-07 0.16206812858581543
cherokee.aif 60.761131386776476 294.535888671875 0.00048854417400434613 2.1928281057626009e-07 0.0060268784873187542
cherokee.aif 64.156303237060072 294.535888671875 0.00076569890370592475 5.7023936506084283e-07 0.18102124333381653
cherokee.aif 67.551475087343661 294.535888671875 0.0010795693378895521 1.181840275421564e-06 0.3219982385635376
cherokee.aif 70.946646937627264 294.535888671875 0.0012707173591479659 1.6193716874113306e-06 0.27740019559860229
cherokee.aif 74.341818787910853 294.535888671875 0.0015049595385789871 2.2331157651933609e-06 0.24609434604644775
cherokee.aif 77.736990638194456 294.535888671875 0.0016229152679443359 2.4892181045288453e-06 0.22354423999786377
cherokee.aif 81.132162488478045 294.535888671875 0.001778922276571393 2.5258107143599773e-06 0.1401740163564682
cherokee.aif 84.527334338761634 294.535888671875 0.0018081368179991841 2.2714170881954487e-06 0.028179476037621498
cherokee.aif 87.922506189045237 294.535888671875 0.0025043757632374763 1.5827524748601718e-06 0.24037998914718628
cherokee.aif 91.317678039328825 294.535888671875 0.0029526655562222004 1.5364615819635219e-06 0.23791845142841339
cherokee.aif 94.712849889612428 294.535888671875 0.0037453400436788797 1.8853038454835769e-06 0.22009773552417755
cherokee.aif 98.108021739896003 294.535888671875 0.0044744322076439857 3.862729045067681e-06 0.19299045205116272
cherokee.aif 101.50319359017959 294.535888671875 0.0055206711404025555 8.8664855866227299e-06 0.16128753125667572
cherokee.aif 104.89836544046318 294.535888671875 0.0072508403100073338 2.5798832211876288e-05 0.29942652583122253
cherokee.aif 108.29353729074677 294.535888671875 0.0097863832488656044 6.31060975138098e-05 0.34751635789871216
cherokee.aif 111.68870914103034 294.535888671875 0.011408932507038116 8.4274783148430288e-05 0.31866404414176941
